job_title,company_name,company_location,work_method,post_date,no_of_applicants,work_time,no_of_employees,industry,job_desc
Staff Engineer QA,Infineon Technologies,"Singapore, Singapore",Remote,1 week ago,73 applicants,Full-time · Mid-Senior level,"1,001-5,000 employees",Professional Services,"About the job
Part of your life. Part of tomorrow.

Infineon is a world leader in semiconductor solutions that make life easier, safer, and greener. Our solutions for efficient energy management, smart mobility, and secure, seamless communications link the real and the digital world.

Work closely with internal and external team to resolve quality issues (customer complaints/RMA, production problem) through 8D approach.
Analyze cause of problem, process effective countermeasure to prevent recurrence of any non-conformities relating to product, process and quality system.
Perform quality audit to ensure that products, process and working procedures are in accordance with specifications and IATF16949 requirements.
Determine, revise and update quality specifications and procedures for maximum effectiveness of quality resources.
Identify and document areas or factors contributing for sub-standard quality, reliability, customers complaints and to implement effective corrective actions and/or control for elimination of deficiencies through engineering approach and continuous improvement concept.
Conduct MRB program in plant and ensure all requirements are applied accordingly.
Communicate/Coordinate/Respond to personnel on other IFX site as needed information.





Bachelor's or Master's Degree in any Engineering field (Electrical, Mechanical, Electronics, Industrial), Physics or Material Science
Minimum 3-5 years experiences in Quality field (QA, QE) or Process engineer function
Knowledge of manufacturing process
Strong systematic thinking, good attitude and understanding of Problem-solving skills (such as PDCA, 8D report), FMEA, MSA and SPC
Ability to effectively present information and respond to questions from groups of managers, customers and engineering team members.
Good English communication and presentation skills"
"Deals - Data Analytics, Manager",PwC Singapore,"Singapore, Singapore",On-site,1 week ago,3 applicants,Full-time · Mid-Senior level,51-200 employees,"Technology, Information and Internet","About the job
Line of Service

Advisory

Industry/Sector

Not Applicable

Specialism

Data and Analytics Technologies

Management Level

Manager

Job Description & Summary

We believe that challenges are better solved together. That's why you'll join a diverse, global community of solvers - an unexpected mix of people that come together to build trust in society and solve important problems. With us, you are encouraged to lead with your heart and values, and where your unique skills are developed and put to work in unexpected and exciting ways, superpowered by technology.

Our Deals Advisory Practice helps businesses realise the potential of their mergers, acquisitions and divestitures, and capital markets with a global network of industry experts coupled with data-driven insights. As the largest in Singapore, we provide faster growth, stronger capabilities, a competitive edge across the entire deal continuum, from strategy formulation, deal origination, transaction support and finance raising, to post deal integration and exit.

We are seeking a Manager level person to join us in our Deals Data and Analytics practice

Deals Data & Analytics is at the core of analytics within PwC Deals and is poised to be one of our highest growth teams. We focus on the application of leading edge analytical and modelling techniques to help clients make decisions and solve problems. We work on some of the most high-profile deals in the market, across a wide range of clients and sectors

Deals Data & Analytics sits within the Transaction Services team in Deals and provides support to private equity firms, investment funds and corporate clients through mergers, acquisitions and disposals.

What We Do

Every assignment is different, but we broadly define our offerings under the key headings;
Deal Analytics – Using advanced analytical tools to increase confidence both before and during the deal through detailed analysis (customer segmentation, product profitability, pricing etc.)
Post Deal - driving performance transparency (strategic planning and reporting) and value creation to support the investment thesis through a technology enabled approach e.g. margin optimisation, strategic options analysis and operational effectiveness.
Accelerated Insights - delivering value creation opportunities using intelligent analytics to corporate and portfolio companies (e.g. enabling data driven decision making across sales teams, HR or finance functions)
About The Role

As a Manager you will be supporting a broad range of projects with a specific focus on data analytics. Your first assignment may be working with CFOs or CEOs of leading PE backed or listed businesses to:
Assess shareholder return by implementing rapid analytics to assess the value drivers of the target business;
Guide management’s pricing decisions by evaluating the impact of price on margins and volume;
Understand the performance of different customers and products by applying techniques such as cohort analysis and clustering;
Implement better data driven decision making within Private Equity backed companies through use-case driven analytics (e.g. Sales team performance and effectiveness dashboards)
Your responsibilities will include but may not be limited to:
Working in multidisciplinary teams directly with our clients to use data analysis and visualisation - either within, before or after a Deal process to answer critical commercial questions
Clear and concise communication of complex concepts and their business benefits to senior management (both internally and externally) from a range of backgrounds and business areas to help clients make robust, evidence-based decisions
Connecting the dots from disparate information streams (e.g. extracts from client system, management reports etc.) and turning them into structured data that can be analysed as part of a project to provide greater insight to our clients
Drafting reports and presentations and using data visualisation to explain our findings
Supporting the team to develop and pitch for opportunities
About You
Bachelor’s degree or above from a reputable university, preferably with specialization in Mathematics, Statistics, Decisions Sciences, Computer Science, Engineering, Economics or Business
Minimum 7 years of experience (with a minimum of 4 years experience manipulating data sets and building statistical models).
Strong experience in using advanced analytics tools (e.g. Alteryx, Tableau, PowerBI, Python etc.)
Exceptional analytical and technical aptitude, possess both financial and commercial acumen and enjoy problem solving to understand the drivers of a business, analyse their data and use this to provide insight and advice to our clients
Have an entrepreneurial mindset and self-starter mentality, and be comfortable with a degree of ambiguity with little supervision to come up with creative solutions to complex problems and develop these ideas into structured deliverable projects
Experience in Accounting, Finance, and or Deals environment
Experience with data visualisation tools, such as Tableau, QlikView and Power BI.
Experience querying databases and using statistical computer languages: R, Python, SQL, etc.
Good presentation skills, both oral and written
Good client management skills, authoritative and credible in a client conversation - both in terms of personal style and subject matter expertise
PwC Is Able Bring To Those Who Join Us
The opportunity of working hand-in-hand with a strong and fast-growing team of multi-competency advisory professionals amidst an environment of camaraderie and entrepreneurial growth
Ability to leverage our Advisory practice that comprises multiple competencies and therefore enables the provision of a more complete solution to clients
And last but not the least, access to the global PwC network
Our commitment to you
Our team has constructed sophisticated training programs in order to equip and support commercially minded individuals with best practice techniques through technical training in advanced analytics.
Upon joining the team, you will participate in a wide range of training programs, conducted by internal and external specialists, in order to develop your proficiency in data analytics and visualisation tools such as Alteryx, PowerBI and Tableau. These training programs are combined with work shadowing, on the job coaching and an amicable team culture that will support you in developing your skills and career within the team.
We offer opportunities for accelerated personal and professional growth, and a long career at PwC
Only shortlisted candidates will be notified due to the high number of applicants for this role.
Education (if blank, degree and/or field of study not specified)

Degrees/Field Of Study Required

Degrees/Field of Study preferred:

Certifications (if blank, certifications not specified)

Required Skills

Optional Skills

Desired Languages (If blank, desired languages not specified)

Travel Requirements

Not Specified

Available for Work Visa Sponsorship?

Yes

Government Clearance Required?

No

Job Posting End Date"
Senior Associate,Kennedys,"Singapore, Singapore",On-site,5 days ago,46 applicants,Full-time · Director,"501-1,000 employees",Financial Services,"About the job
Kennedys Legal Solutions is looking for a Senior Associate with 3-4 years' experience in insurance and reinsurance claims preferably within Aviation litigation, to join our Singapore office. The Aviation team's specialism includes dispute resolution in single and cross border litigation, complex and high value subrogation claims, catastrophic loss, risk management and regulatory matters.

The successful Senior Associate will have experience of:
Handling a high number of varied cases, ideally concerning aviation or shipping liability matters.
International Aviation Conventions, principally the Montreal Convention and/or insurance / reinsurance coverage disputes (ideally acting for (re)insurers).
Working to tight deadlines and as part of a team.
Building relationships with clients, including insureds, insurance brokers and insurers.
Managing and handling low value cases with minimal supervision.
Civil Procedural Rules, ideally of England and Wales.

The successful Senior Associate will have the following skills:
Excellent written and oral communication.
Strong negotiation and drafting abilities.
Excellent organisational skills.

Recent examples of our work include advising reinsurers on coverage related issues arising out of the Russia / Ukraine leasing crisis, advising reinsurers on subrogations following aircraft ground collisions, advising reinsurers on liability claims arising out of general aviation losses, handling attritional claims in respect of prestigious airline accounts.

Experience of aviation work is preferred but not required, but the successful Senior Associate will be able to deal with cross jurisdictional legal analysis which frequently requires consideration of the law and practice of multiple jurisdictions.

This is a unique opportunity for bright, ambitious and social lawyers keen on working in a market leading and fast growing team within a global law firm. The successful applicants will be exposed to a wide range of international work across the Asia-Pacific.

The candidate needs to have been trained in a common law jurisdiction, ideally England & Wales, but Australian or New Zealand qualified will also be considered.

*Where a level of experience is indicated, this is a guideline only and represents the amount of time we would usually expect a candidate to accumulate the requisite level of experience. This does not preclude applications from candidates with more or less experience."
APAC Detection Engineering & Investigation Lead,BNP Paribas,"Singapore, Singapore",Hybrid,1 week ago,77 applicants,Full-time · Mid-Senior level,"501-1,000 employees",Business Consulting and Services,"About the job
In Asia Pacific, BNP Paribas is one of the best-positioned international financial institutions with an uninterrupted presence since 1860. Currently with over 18,000 employees* and a presence in 13 markets, BNP Paribas provides corporates, institutional and private investors with product and service solutions tailored to their specific needs. It offers a wide range of financial services covering corporate & institutional banking, wealth management, asset management, insurance, as well as retail banking and consumer financing through strategic partnerships.

Worldwide, BNP Paribas has a presence in 68 markets with more than 193,000 employees. It has key positions in its three main activities: Domestic Markets and International Financial Services (whose retail-banking networks and financial services are covered by Retail Banking & Services) and Corporate & Institutional Banking, which serves two client franchises: corporate clients and institutional investors. Asia Pacific is a key strategic region for BNP Paribas and it continues to develop its franchise in the region.
excluding partnerships

At BNP Paribas, we passionately embrace diversity and are committed to fostering an inclusive workplace where all employees are valued, respected and can bring their authentic selves to work. We prohibit Discrimination and Harassment of any kind and our policies promote equal employment opportunity for all employees and applicants, irrespective of, but not limited to their gender, gender identity, sex, sexual orientation, ethnicity, race, colour, national origin, age, religion, social status, mental or physical disabilities, veteran status etc. As a global Bank, we truly believe that inclusion and diversity of our teams is key to our success in serving our clients and the communities we operate in.

https://careers.apac.bnpparibas/

Position Purpose

APAC Production Security teams are responsible for multiple IT Security activities for BNP Paribas in Asia Pacific region, such as:
IT Production Security Governance, PMO & Risks
Network Security and Security Design & Architecture
Vulnerability & Compliance Management
IAM Production
Production CSIRT, Detection & SIEM Engineering
Production support of the Security platforms

As the APAC Detection Engineering & Investigation Lead, you will be in charge of the regional IT Production SOC & Security Investigation & Incident Response teams and processes.

Your role will be to:
Manage teams of experts on Security Incident Response activities, Anti-Malware/Defense activities and Security Detection activities,
Oversee the management of the 24/7 regional IT Production SOC which handles the IT Production security alerts for the APAC region,
Contribute to the enhancement of SIEM and SOAR capabilities,
Strengthen the detection capabilities in APAC, and be member of the Global Use Case factory committee for a worldwide alignment of the use cases
Participate to the global continuous improvement of the framework of tools and processes for Security Incident Management, Anti-Malware/Defense and Security Detection,
Collaborate with the APAC Business CSIRT, accountable for the Security Incident practice in APAC, to strengthen the extended security monitoring setup between Business Information Security and IT Production Security.

Key Responsibilities

Direct Responsibilities
Lead and manage the team of IT Production Security Investigation & Incident Response and oversee the management of the 24/7 regional IT Production SOC
Be responsible for the security monitoring and security incident response for the regional IT production
Partner with global, regional and local stakeholders to ensure organizational and procedural efficiency and readiness for detection of suspicious events and reaction upon security incident.
Continuously improve the processes to strengthen the current SOC framework via review of policies and operational playbooks
Steer the regional threat modeling, identification of threat vectors and development of related security monitoring capabilities
Participate in the Use Case Committee factory to improve the detection capabilities of the Bank
Report to global regional and local stakeholders on the strategic and operational aspects of these activities

Contributing Responsibilities
Partner with the APAC Business CSIRT for integrated security monitoring and alert/incident handling operations.
Contribute to local security incident response outside the direct scope of responsibilities (i.e. local IT production in some APAC business entities)
Contribute to the Bank compliance with regulatory requirements and internal policies
Contribute to the reporting of all incidents according to the Incident Management System
Contribute to the control frameworks in day‐to‐day business activities, such as Control Plan; Participate to Audit interview and provide the require evidences

Competencies (Technical / Behavioral)
Requires a minimum of 8+ years of experience as security professional
Excellent interpersonal and communication skills; ability to influence and motivate
Ability to handle high pressure situations with key stakeholders to collaborate and communicate effectively and respectfully with both business-oriented executives and technology-oriented personnel in teams across the organization
Experience of performing security monitoring and incident response activities in an advanced Security Operation Centers (SOC) environment (log analysis, event analysis, incident investigation, reporting)
Experience and knowledge in investigating incidents, remediation, tracking and follow-up for incident closure with concerned teams, stakeholders.
Exhaustive technical knowledge and hands on experience in several security domains
Thorough understanding of technologies and security concepts, with knowledge & hands on experience in SIEM Product and Security Incident Management
Program and project management expertise
Ability to manage a budget
Taking initiative: be proactive and run decision-making processes autonomously
Client focus and Results oriented: understand the business processes that IT & Security solutions provide and work on continuous enhancement
Strategic vision: ability to develop strategic targets and to build paths to achieve them
Communication skills: excellent communication and advocacy skills, both verbal and written, with the ability to express complex technical issues in an easily understood manner
Analytical skills: interpretation of complex situations and elaboration of adapted solutions in a proactive way
Rigor & Accuracy: focus on robust deliverables for long term achievements
Flexibility: capacity to adapt in a fast-paced changing environment

Specific Qualifications
Successful people management experience
Professional credentials in one of the relevant IT Security disciplines is a plus (CISSP / OSCP / SANS)
Experience in common scripting languages such as Python, PowerShell, Bash is a plus
Experience in SIEM on ELK stack is a plus

Primary Location

SG-06-Singapore

Job Type

Standard / Permanent

Job

SECURITY OR FACILITIES MANAGEMENT

Education Level

Bachelor Degree or equivalent (>= 3 years)

Experience Level

At least 7 years"
Data Scientist ( Optimization ),Spring Professional,"Singapore, Singapore",On-site,2 weeks ago,31 applicants,Full-time · Internship,"10,001+ employees",Banking,"About the job
About the Client
Our client is a Global Leading Automotive Manufacturer that is setting up their AI R&D department. They are looking for a Data Scientist specialized in optimization to join their team.

Main Duties & Responsibilities
Build advanced Data Science or Optimization algorithms / models that can be applied for manufacturing processes
Be involved in EV projects related to algorithm development, data and system implementation from POCs to implementation
Work with the AI research team to publish papers or file for relevant patents
Introduce state-of-the-art data science technologies that be commercially applied in an smart manufacturing setting

Experience and Qualifications
Master's or Ph.D. degree in Computer Science, Mathematics, Statistics or equivalent
At least 2 years of data science or optimization experience in one or more of the following areas: Multivariate time-series analysis, Forecasting models, Data mining, Pattern recognition, Classification, Stochastic Process
Experience in ML or Data Mining frameworks such as Tensorflow, PyTorch or Scikit-learn
Experience in Distributed Data Frameworks such as Hadoop, Hive or Spark
Prior exposure in a Manufacturing setting will be preferred

What to Expect
Our client offers the benefits of a work environment that is stimulating, challenging and balanced. You will be working with dedicated and industry leading AI Researchers to research on fundamental machine learning algorithms which can be implemented to the manufacturing process and doing collaborative R&D projects with R&D institutes in Singapore or other countries. The position is also responsible for leading AI R&D projects which are aligned with the business or technical roadmap determined by HQ.

Interest & Application
Advance your career to the next level with this unique opportunity in Singapore. To further consult on this role, please send your updated Word format resume to Samantha.See@springasia.com.

Personnel Registration No R22109255
EA license No. 09C5803"
"Junior Java Developer (AGILE Project, up to $4800, Central)",HTZ Resources,"Singapore, Singapore",Hybrid,4 days ago,71 applicants,Full-time · Mid-Senior level,"1,001-5,000 employees",Staffing and Recruiting,"About the job
This job is sourced from a job board. Learn more
Junior Java Developer needed. Basic Salary up to $4800 (Subject to experience). 5 Days per week, Central Area. Please send your resume to Hendrich@htzresources.com

Responsibilities
Be part of an Agile team to carry out full-stack development to deliver and maintain large-scale enterprise web application systems.
Work with customers in user story elaboration and effort estimation.
Implement microservices with container-related technologies (e.g. Docker, Kubernetes).
Develop automated unit tests.
Requirements
1-2 years of Java development experience
MUST HAVE experience with agile projects.
Strong proficiency in Java programming language, Spring Framework.
Proficiency in one or more frontend frameworks (HTML5 / Angular / React).
Experience developing on cloud platforms.

Desired Skills and Experience
Kubernetes, Agile, JavaScript, HTML5, Communication Skills, Angular, Docker, Team Player, Java, Software Development"
Senior Data Scientist (Analytics) - Multiple Roles,Grab,"Singapore, Singapore",Hybrid,1 week ago,47 applicants,Full-time · Mid-Senior level,"1,001-5,000 employees",Software Development,"About the job
Job Description:

Get to know the team:

Have you ever wanted to build customer-facing products that rely extensively on data insights and models? Have you ever been keen on building a recommender model to customise your Grab app (or any other consumer app) experience? If you answered yes to either of these questions .. then look no further!

The Analytics team mission is to use data and experimentation to advance product innovation. We love building hacky products to test and iterate what’s best for our customers. As we ship multiple products every week, it means we have to fine-tune models, run and evaluate hundreds of experiments weekly! We are looking for junior and experienced data scientists to build a center of data excellence for Product & Experimentation in a diverse range of tech families. Your role is to guide a data-first approach to product thinking, design controlled experiments and be objective while evaluating results, all of this while working with stakeholders to evaluate new and innovative product and business ideas! You will help developers, designers & product managers across the company with recommendations on how to learn from unexpected results, study underlying causes for them and iterate on the next set of products to build for our users.

What Will You Do?

You will be working closely with various teams within a business line (Product, Business, Engineering, Design and Data Science) to understand data requirements, identify and track key metrics, and provide data-driven insights. You will also work with stakeholders to evaluate the feasibility of new business/product ideas and provide appropriate recommendations.

A Day In The Life

Understand business objectives and deepdive into existing data to recommend new product ideas to solve for the most impactful customer problems (pssh .. some top-secret products await you!)
Use data to identify trends, spot anomalies and deepdive into their root causes
Use your number-crunching and slide-maker skills to use and present data beyond just numbers. Hone your data storytelling skills through visualisation techniques by building dashboards and presenting insights to a non-technical audience!
Evaluate the feasibility of developing new products, participate in user researches to validate customer problems
Align with stakeholders on key product metrics, design and propose experimentation strategies.
Launch A/B tests, analyze experiment results and provide recommendations
Design and own frontend and backend data specs for new products, while collaborating with engineering teams to ensure accurate and timely data collection
Develop and maintain data pipelines to fulfill product reporting requirements

The Must Haves

A curious and confident soul (with a dash of humour) who loves using data!
For Data Scientists, some relevant experience and for Senior Data Scientists, 2-3+ years relevant industry experience (preferably in an Internet or ‘Direct to Consumer’ company with high velocity data and scaled controlled experiments). Prior experience with Product Management will be a definite plus.
Strong statistical knowledge - ideally having utilized controlled experiments in the industry.
You enjoy using SQL, Google Sheets, R, SQL and other scripting/programming languages to solve customer-problems. Experience in Spark (Scala / pySpark) would be a plus.
Strong data visualization and storytelling skills. Experience in creating dashboards using Tableau and other visualisation tools.
Self-Starter: Ability to work independently and drive own projects.
Ability to deliver on tight timelines and move quickly with cross-functional teams to execute on decisions while maintaining attention to detail"
Quantitative Developer,WorldQuant,"Singapore, Singapore",On-site,1 week ago,56 applicants,Full-time · Entry level,"10,001+ employees",Telecommunications,"About the job
WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on exploiting market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform.

Technologists at WorldQuant research, design, code, test and deploy projects while working collaboratively with researchers and portfolio managers. Our environment is relaxed yet intellectually driven. Our teams are lean and agile, which means rapid prototyping of products with immediate user feedback. We seek people who think in code, aspire to tackle undiscovered computer science challenges and are motivated by being around like-minded people. In fact, of the 600 employees globally, approximately 500 of them code every day.

WorldQuant’s success is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventional thinking and possess an attitude of continuous improvement. That’s a key ingredient in remaining a leader in any industry.

Our goal is to hire the best and the brightest. We value intellectual horsepower first and foremost, and people who demonstrate an outstanding talent. There is no roadmap to future success, so we need people who can help us build it. Our collective intelligence will drive us there.

The Role: As a Quantitative Developer, you will:

Partner with Quantitative Researchers and Portfolio Managers on design and implementation of intraday research framework
Review and refactor the existing research tools; innovate and develop new libraries which improve the research process
Convert research ideas into efficient code; assist the researchers in the development and testing of the new quantitative models
Collaborate with technology teams on the production of the models and strategies, continuously improve its robustness and efficiency

What You’ll Bring

Computer science or engineering background
2 years of experience in technology roles in financial institutions, or relevant technology firms; direct exposure to systematic trading strategies preferred
Efficient in C++ and Python; hands-on experience with machine learning libraries preferred
Deep passion and interest for technology in financial markets
Analytical, meticulous, result-driven with problem solving abilities
Entrepreneur approach with ability to take ownership of the problems and make progress in challenging environment

Copyright © 2022 WorldQuant, LLC. All Rights Reserved.

WorldQuant is an equal opportunity employer and does not discriminate in hiring on the basis of race, color, creed, religion, sex, sexual orientation or preference, age, marital status, citizenship, national origin, disability, military status, genetic predisposition or carrier status, or any other protected characteristic as established by applicable law."
Senior Data Analyst (Data Management and Platform Operations),The Coca-Cola Company,"Singapore, Singapore",Hybrid,1 day ago,30 applicants,Full-time,"10,001+ employees",Financial Services,"About the job
The Coca-Cola Company is looking for Sr. Analyst to analyze, interpret, and document business processes, products, services, and technology. This role will support product teams to design, build, and implement data and analytics products and solutions for various stakeholders. Will work with cross functional teams across product, technology, and subject matter experts to deliver projects.

The role will report into the Data Platform & Ops team lead in the Asean South Pacific D&A Team.

What You’ll Do For Us

The Analyst key responsibilities are:

Analyze business analytical requirements (e.g., functional and technical requirements, data need, business processes) by conducting information-gathering sessions with clients, analyzing the information and prioritizing the requirements to gain understanding of the business needs.
Develops data analytics products (new data ingestion, data processing ETL, data enhancements, master data, data integration). Connect business process to data product functionality and ensure the reuse, integration, maintainability and efficiency.
BI/Analytics solutions that are visually pleasing, easy-to-use and understand, and that drive actionable insights and business value.
Compliance with industry best practice software and company technical architecture standards
Maintain good data governance and data quality for analytics solutions.

Qualifications & Requirements

3+ years of developing and managing data products from ingestion to operations and maintenance.
3+ years of experience supporting data analytics solutions, including troubleshooting issues and incidents management.
Experience using Python and working with relational SQL databases
Experience using CI/CD tools – Bitbucket, GitHub, GoCD, Bamboo, Terraform
Solid understanding of Git-based version control
Solid knowledge about data modeling and architecture
Demonstrated proficiency in using Azure platform for Data and Analytics products specially focused in Data Services (CosmosDB, DynamoDB, Databricks, Glue, DataLake, Redshift etc.)
Experience in Agile\DevOps project methodology.

What We Can Do For You

Purpose Driven: Purpose driven approach that empowers our people to protect the environment and communities we serve while delivering safe & quality products.
Global Connections: Allows you to develop, enhance and maintain global connections that allow us to move faster and learn from others.
Community of Belonging: We’re an organization that believes our ability to continually grow and build the right atmosphere where people feel safe and empowered, lets you bring your best self to work.

Our Purpose And Growth Culture

We are taking deliberate action to nurture an inclusive culture that is grounded in our company purpose, to refresh the world and make a difference. We act with a growth mindset, take an expansive approach to what’s possible and believe in continuous learning to improve our business and ourselves. We focus on four key behaviors – curious, empowered, inclusive and agile – and value how we work as much as what we achieve. We believe that our culture is one of the reasons our company continues to thrive after 130+ years. Visit Our Purpose and Vision to learn more about these behaviors and how you can bring them to life in your next role at Coca-Cola.

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity and/or expression, status as a veteran, and basis of disability or any other federal, state or local protected class. When we collect your personal information as part of a job application or offer of employment, we do so in accordance with industry standards and best practices and in compliance with applicable privacy laws.

R-78161"
Business Analyst – Energy Storage,Dyson,"Singapore, Singapore",On-site,2 weeks ago,57 applicants,Internship · Internship,"10,001+ employees",Semiconductors,"About the job
About The Role

Dyson’s multidisciplinary Energy Storage development team is responsible for delivering cells from early prototypes in the UK, through to volume manufacture in a Singapore plant. The cells that the team delivers will push the boundaries of performance, power density, and efficiency. These cells will drive new high value Dyson products with step improvements over our competitors.

Dyson Global IT are seeking a highly motivated Business Analyst to work closely with engineering, supply chain and finance teams, in order to analyse engineering software requirements and optimise software-related impact. As a Business Analyst, you will have a significant contribution to increasing the speed at which engineering can innovate. Your work will have a direct impact on our ability to scale prototype concepts and builds while continuing to innovate our products and processes.

Responsibilities

She/he will work cross-functionally with Engineering, Supply Chain, and Finance teams to:

Analyse Engineering Requirements and record as Epics, and user stories using agile methodologies. And then to work with the larger team to ensure their delivery as designed.
Work with quality assurance and delivery teams to ensure high quality outcomes.
Coordinate with the different stakeholders to conduct requirement analysis
Support engineering in identifying the business needs, their priority, impact, and urgency
Understand existing software tools and their functionalities and drive software consolidation, wherever possible
Evaluate commercial software solutions
Collaborate with the supply chain team to identify the acceptable commercial terms
Coordinate with engineering stakeholders to establish evaluation criteria
Coordinate with the Design Technology team, its partners, and software vendors to ensure all prerequisites are in place prior to software evaluation
Create usage models to support global purchasing teams in licensing model selection
Engage with the mergers and acquisitions team to support the integration of newly acquired companies

Requirements

Degree in engineering or information technology or 6 years of relevant experience
Proven experience working with engineering, supply chain, and finance teams
Domain knowledge in the manufacturing, aerospace, automotive or similar advanced engineering industry
Extensive, demonstrable experience with engineering software used for simulation, design, MES, ERP and PLM
At least 4 years experience in manufacturing
Ability to independently research problem areas, facilitate meetings and decision-making processes
A highly disciplined individual including the ability to pay close attention to detail as well as able to handle multitasking
A team player who is able to work cross functionally
Excellent written and verbal communication skills with the ability to make complex technical concepts easy to understand for non-technical audiences

Dyson is an equal opportunity employer. We know that great minds don’t think alike, and it takes all kinds of minds to make our technology so unique. We welcome applications from all backgrounds and employment decisions are made without regard to race, colour, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other any other dimension of diversity."
"Engineer 2, Operational Excellence",Molex,"Singapore, Singapore",Hybrid,2 weeks ago,9 applicants,Full-time · Mid-Senior level,11-50 employees,Staffing and Recruiting,"About the job
Description

This job supports Operational Excellence core function, including but not limited to business system interface (SAP, MES), COPQ analysis, savings tracking and continuous improvement for all Operations at Molex Singapore Pte Ltd.

What You Will Do In Your Role

Lead in assigned process improvement/ new technology implementation that support MOS/ Fusion implementation.
Lead monthly Department Engagement with various departments personnel.
In-charge of i-nexus savings tracking, update savings report and publish Power BI reports.
Review project savings files with Project Owners.
Ensure COPQ data weekly update accuracy, update month end COPQ data and publish Power BI reports.
Ensure compliance with Six Sigma and Company approved policies and procedures.
Perform other related duties as assigned by management
Opportunities to be trained with Lean & Six Sigma to be Green Belt / Black Belt certified.

The Experience You Will Bring

Requirements

Degree in IT/ Automation/ Mechanical/ Manufacturing Engineering
Minimum 2 years of experience with SAP MES system /automation/ controller interface.
Experience with any business or technical function requiring the application of analytical skills.
Experience with leading teams and proven problem-solving experience.

What Will Put You Ahead

Record of strong performance and be a trusted professional with a high level of credibility at all levels across the location.
IT savvy, strong computer skills with a solid understanding of all Microsoft Office applications. Excellent project management skills, leadership, presentation and communication skills.
Knowledge of SAP/ MES/ Power BI."
Software Engineer (C# / C++ / Java / GitLab / Up to $6k / Training Provided),Trust Recruit Pte Ltd,"Singapore, Singapore",On-site,2 weeks ago,160 applicants,Full-time · Mid-Senior level,"501-1,000 employees",Human Resources Services,"About the job
This job is sourced from a job board. Learn more
Main Responsibilities
Develop new software modules/features according to customer requirements.
Maintain the current code base of our existing software, including bug fixes, refactoring and other improvements based on customers’ feedbacks.
Maintain our key infrastructures, i.e. servers and networks, required for normal operations of our software systems.
Develop automated tools to facilitate support, test, and administration duties.
Provide technical/production support for our existing software systems; actively monitor and resolve customer reporting of system issues. Required to handle urgent-level technical support issues after office hours but only occasionally.
Requirements
Good proficiency with at least one general-purpose programming language (C#, C++, Java etc.); we prefer candidates knowing C# especially, but it is not compulsory; it is likely that you can learn it in a few weeks if you are proficient with C++ or Java.
Adequate understanding of advanced programming concepts including data structures/algorithms, multi-threading, together with basic network knowledge: TCP/IP protocol and SSL/TLS preferably.
Experience with any version control system, such as GitLab.
Experience with server and network administration (Windows servers, the Aliyun Console, Linux servers) is a plus.
Experience with any SQL Database administration is a plus.
How To Apply

Interested applicants, please click on “Apply Now”. We regret only shortlisted candidates will be notified.

Important Note: Trust Recruit Pte Ltd is committed to safeguarding your personal data in accordance with the Personal Data Protection Act (PDPA).

Please read our privacy statement on our corporate website www.trustrecruit.com.sg.

Trust Recruit Pte Ltd

EA License No: 19C9950

EA Personnel: Ong Darlene Day Ibasco

EA Personnel Reg No: R22105561
Desired Skills and Experience
Version Control, Multithreading, Network Administration, Administration, Protocol, SQL, Database Administration, Windows, Java, C#, Linux, C++, Technical Support"
Project Manager (Industrial Design),Salt,"Singapore, Singapore",Hybrid,1 week ago,58 applicants,Internship · Entry level,"1,001-5,000 employees",Accounting,"About the job
""Design thinking is not just for designers. It's for anyone who wants to create new possibilities."" - Tim Brown

Are you a skilled Industrial Design Project Manager with a passion for driving digital innovation? Look no further! Our client is seeking an experienced professional to oversee all design-related projects and activities, and coordinate across engineering, manufacturing, marketing, and sales teams to maintain design intent and strategy alignment.

As the Industrial Design Project Manager, you will have the influential power to collaborate across different teams and stakeholders, and the attention to detail necessary to ensure the timely creation and delivery of all necessary technical documents to facilitate the new products' development. You will enjoy independence in ensuring all deliverables represent the highest level of quality and reliability attainable. You will also manage the appropriate allocation of design resources to ensure that design projects meet current objectives, schedules, and budgets.

The ideal candidate for this role will have:
A digital innovation mindset
A minimum of 5-7 years of experience in project management within the industrial design field
Strong communication and leadership skills
Proven experience in managing and coordinating cross-functional teams
Excellent attention to detail and the ability to handle multiple projects simultaneously

If you're ready to take your industrial design project management career to the next level and make a real impact, we want to hear from you! Please apply with your resume and portfolio highlighting your relevant experience.

CEI R21103124
EA: 07C3147"
